DESCRIPTION,NAME,ID,LOCALE
Robust high-quality ceramic mug for every-day use in two unobstrusive colours.,Tea- / Coffee-Mug,844ede5c-071e-34ed-907f-f99cb3a4693d,en
"High-quality heavy-duty removal box of twin-fluted corrugated board ideal for heavy or fragile goods; the box is easy to construct and securely closed, no tape required; clear labelling areas and convenient pre-cut handles; 400x320x330mm.",Removal Storage Box,87b45be6-7494-3303-affb-79bcebc8f2cf,en
"Set of round magnets in coloured plastic; use as planning markers or to hold papers on magnetic boards; 25mm diameter; Assorted colours with 2 of each in red, yellow, blue and green; pack of 8.",Plastic Covered Magnets - 25mm - Assorted - Pack of 8,888e3908-1113-37f5-98ba-0d261656d1d5,en
"Classic highlighter for marking text and highlighting important information. Chisel tip provides 2 line widths of 2 and 5mm for a range of tasks such as writing, underlining or highlighting. Flat-shaped barrel that will not roll away. Up to 4 hours cap-off time; Highlight up to 375m; Water-based ink; Easily refillable.",Marker Pen - Yellow,8a5013c2-645d-3574-abf0-433403350ccb,en
Executive Wooden Whiteboard Eraser including 10 Eraser Cleaning Cloths.,Executive Wooden Whiteboard Eraser,8baa650c-2a90-3bd8-adaa-fc01d7092485,en
Plain white 90gsm envelopes with a blue opaque interior to keep content confidentially; self-seals on its long edge; Size: 110mmx220mm - designed to hold letter sheets folded twice horizontally; the adhesive stays fresh for at least one year. Time saving silicone strip ensures hygiene and a super-tight seal; pack of 250.,Business Envelope - Box of 250,8de45b9c-02ee-36b0-b495-79b72daddcb2,en
Strong but light-weight 2-Hole Punch with an exclusive matted surface and a flip-open confetti tray; double hardened punching cutters ensure precise perforations; punching of up to 22 sheets (80g/m2); 15 years warranty.,Office Hole Punch - Black,906f6f03-a8d0-3050-92a0-06eca6ae8afc,en
Great value polypropylene box file with spine label holding up to 600 sheets; Spine width: 70mm.,Plastic Box File - Blue,90a8763d-d914-350f-8487-17f842e562a5,en
Best value magazine file of high impact polystyrene.,Large Capacity Magazine File - Blue,942d3f75-04ec-323b-9308-dc0d7dc2d331,en
"Pack of 4 long life replacement bulbs for R50 reflector; Power consumption only 5 w; Energy rated A, 95% saving; 5W R50 SMD LED very bright; Fitted with new chip technology.",Energy saving LED light bulb - Pack of 4,9448ad48-adec-3944-8209-cf17c5ed949c,en
Set of three strong scissors with ergonomically shaped rubber Soft-Grip handles in three different shapes; Suitable for left or right handed use; High quality stainless steel blades; 10 years warranty.,Premium Scissors - Set of 3 - Assorted,94a45f55-bf51-3a49-b733-2b8f332bace2,en
Durable document folder with 2 elastic straps and without flaps for quick filing; Spine Width: 15mm.,Elasticated Folder Without Flap - Yellow,96768966-4b5b-3ff7-901f-fa79a04dce10,en
High quality wire bound (sidebound) notebook with a sturdy wipe-clean polypropylene cover; high quality white 90gsm paper; 5mm squared; paper size: A4 (210X297mm) (8.25X11.75in); 160 pages (80 sheets) per book.,Wirebound Notebook - Squared - 80 Sheets,97c0d6bd-62f9-3e8e-bb4e-35212a926d7e,en
Multipurpose Coloured Paper ideal for volume copying and printing suitable for all office machines; available in a large range of colours; 80gsm.,Printer Paper - Intense Red - 250 Sheets,9bcfbcac-e4ce-31ed-8fd9-8a898e67d4ee,en
Robust high-quality ceramic mug for every-day use in two unobstrusive colours.,Tea- / Coffee-Mug,9d827d19-48b2-3f54-8603-699ccec0cb80,en
Multipurpose Coloured Paper ideal for volume copying and printing suitable for all office machines; available in a large range of colours; 80gsm.,Printer Paper - Intense Blue - 250 Sheets,9dfb704b-297f-3d6e-8ead-bac054fa0f6a,en
Hexagonal coloured pencils in 24 vibrant colours; Ultra-resistant lead to prevent breaking; Easy to sharpen Made from 50 per cent recycled material; hardwearing pencils resistant to chewing and splinter-proof.,Colour Pencils - Assorted - Pack of 24,9edb589d-960a-3d40-b39b-2b69cb140c6b,en
"Executive, heavy duty and large capacity full strip stapler; combines stylish and ergonomic design with high stapling capabilities; to use with 26/6-8mm and 24/6-8mm staples; 50 sheet capacity; 15 years warranty.",Heavy Duty Stapler - Black,9f358e1b-59e7-3b69-baa5-cf1ae5f358df,en
"Durable and elastic rubber band made from natural rubber, taken from sustainable resources; Size: 32x1.5mm (L x W).",Assorted Colours Rubber Band - Bag of 870,9fa99e0f-64ae-3e7d-b925-dbeec0a4b226,en
Assorted high-quality coloured paper; 80gsm; 7 colours; 250 sheet.,Premium Printer Paper - Assorted - 250 sheet,a0c59c7a-6504-3283-8271-be865784f31e,en
"High quality gel ink rollerball in 12 attractive neon colours; 'Uni-flow' liquid ink system ensures smooth consistent ink flow and smooth writing; Tip width: 7mm, produces medium 0.5mm writing line; Ideal for student and teacher marking.",Gelstick Rollerball Pens - Assorted - Pack of 12,a19a313e-b6fd-3e88-a192-0a1bd5ba0453,en
Striking and stylish magazine file of high impact polystyrene.,Plastic Magazine File - Green,a299b598-bce2-3fcc-8017-e1f54a6d9dce,en
"Supreme battery charger: charges AA, AAA, rechargeable batteries fast and reliable; batteries not included.",Universal Charger Plug,a2d9963d-ed92-3307-ab1d-403855e7fec9,en
"Lasts up to 4x longer than standard alkaline, results vary by device; Up to 5 years total usable battery life under typical usage patterns; can be charged up to 1000 times; Charge lasts up to 12 months in storage; suited for all devices and occasions; Batteries come pre-charged.",Rechargeable AA-Batteries - Pack of 4,a331db13-5168-3374-a427-be4cd11be071,en
