DESCRIPTION,NAME,ID,LOCALE
Robuster hochwertiger Keramikbecher für den täglichen Gebrauch in zwei dezenten Farben.,Tee- / Kaffeebecher,844ede5c-071e-34ed-907f-f99cb3a4693d,de
"Hochwertige Hochleistungs-Entnahmebox aus Doppelwellpappe, ideal für schwere oder zerbrechliche Güter; Die Box ist einfach zu konstruieren und sicher verschlossen, es wird kein Klebeband benötigt. klare Beschriftungsbereiche und praktische vorgestanzte Griffe; 400 x 320 x 330 mm.",Entnahme Aufbewahrungsbox,87b45be6-7494-3303-affb-79bcebc8f2cf,de
"Set runde Magnete aus farbigem Kunststoff; Verwendung als Planungsmarker oder zum Halten von Papieren auf Magnettafeln; 25mm Durchmesser; Verschiedene Farben zu je 2 in Rot, Gelb, Blau und Grün; Packung mit 8 Stück.",Magnete mit Kunststoffabdeckung - 25mm - Sortiment - Packung mit 8 Stück,888e3908-1113-37f5-98ba-0d261656d1d5,de
"Klassischer Textmarker zum Markieren von Text und Hervorheben wichtiger Informationen. Die Meißelspitze bietet 2 Linienbreiten von 2 und 5 mm für eine Reihe von Aufgaben wie Schreiben, Unterstreichen oder Hervorheben. Flacher Lauf, der nicht wegrollt. Bis zu 4 Stunden Cap-Off-Zeit; Markieren Sie bis zu 375 m; Tinte auf Wasserbasis; Leicht nachfüllbar.",Markierstift - Gelb,8a5013c2-645d-3574-abf0-433403350ccb,de
"Executive Whiteboard-Radiergummi aus Holz, einschließlich 10 Radiergummi-Reinigungstüchern.",Whiteboard Radierer aus Holz,8baa650c-2a90-3bd8-adaa-fc01d7092485,de
"Einfarbige weiße Umschläge (90 g / m_) mit einem blauen, undurchsichtigen Inneren, um den Inhalt vertraulich zu behandeln. Selbstsiegelung an der langen Kante; Größe: 110 mm x 220 mm - zum Halten von Briefbögen, die zweimal horizontal gefaltet wurden; Der Klebstoff bleibt mindestens ein Jahr lang frisch. Zeitsparender Silikonstreifen sorgt für Hygiene und einen super dichten Verschluss; Packung mit 250 Stück.",Geschäftsumschlag - Box mit 250 Stück,8de45b9c-02ee-36b0-b495-79b72daddcb2,de
"Starker, aber leichter 2-Loch-Punsch mit einer exklusiven matten Oberfläche und einer aufklappbaren Konfetti-Schale; doppelt gehärtete Stanzmesser sorgen für präzise Perforationen; Stanzen von bis zu 22 Blatt (80 g / m2); 15 Jahre Garantie.",Bürolochstanze - Schwarz,906f6f03-a8d0-3050-92a0-06eca6ae8afc,de
Hochwertige Polypropylen-Schnellhefter mit Rückenetikett für bis zu 600 Blatt. Rückenbreite: 70mm.,Dokumentenmappe - Blau,90a8763d-d914-350f-8487-17f842e562a5,de
Beste Preis-Magazin-Datei aus schlagfestem Polystyrol.,Großer Schreibtisch-Ordner - Blau,942d3f75-04ec-323b-9308-dc0d7dc2d331,de
"Packung mit 4 Ersatzlampen mit langer Lebensdauer für R50-Reflektor; Leistungsaufnahme nur 5 W; Energieeffizienzklasse A, 95% Ersparnis; 5W R50 SMD LED sehr hell; Ausgestattet mit neuer Chiptechnologie.",Energiesparende LED-Glühbirne - 4er-Packung,9448ad48-adec-3944-8209-cf17c5ed949c,de
Drei starke Scheren mit ergonomisch geformten Soft-Grip-Gummigriffen in drei verschiedenen Formen; Geeignet für Links- oder Rechtshänder; Hochwertige Klingen aus rostfreiem Stahl; 10 Jahre Garantie.,Hochwertige Schere - 3er-Set - Verschiedene Ausführungen,94a45f55-bf51-3a49-b733-2b8f332bace2,de
Robuster Dokumentenordner mit 2 Gummibändern und ohne Klappen für eine schnelle Ablage; Rückenbreite: 15mm.,Elastischer Ordner ohne Klappe - gelb,96768966-4b5b-3ff7-901f-fa79a04dce10,de
"Hochwertiges, kabelgebundenes (sidebound) Notebook mit einer stabilen, abwischbaren Polypropylen-Abdeckung. hochwertiges weißes 90 g / m_-Papier; 5mm im Quadrat; Papiergröße: A4 (210 x 297 mm) (8,25 x 11,75 Zoll); 160 Seiten (80 Blatt) pro Buch.",Drahtgebundenes Notizbuch - Kariert - 80 Blatt,97c0d6bd-62f9-3e8e-bb4e-35212a926d7e,de
"Farbiges Mehrzweckpapier, ideal zum Kopieren und Drucken von Volumina, geeignet für alle Büromaschinen; in einer großen Auswahl an Farben erhältlich; 80 g / m_",Druckerpapier - Intensivrot - 250 Blatt,9bcfbcac-e4ce-31ed-8fd9-8a898e67d4ee,de
Robuster hochwertiger Keramikbecher für den täglichen Gebrauch in zwei dezenten Farben.,Tee- / Kaffeebecher,9d827d19-48b2-3f54-8603-699ccec0cb80,de
"Farbiges Mehrzweckpapier, ideal zum Kopieren und Drucken von Volumina, geeignet für alle Büromaschinen; in einer großen Auswahl an Farben erhältlich; 80 g / m_",Druckerpapier - Intensivblau - 250 Blatt,9dfb704b-297f-3d6e-8ead-bac054fa0f6a,de
"Sechseckige Buntstifte in 24 leuchtenden Farben; Ultra-beständiges Blei, um ein Brechen zu verhindern; Leicht zu schärfen. Hergestellt aus 50 Prozent recyceltem Material. strapazierfähige, kaubeständige und splitterfreie bleistifte.",Farbstifte - Sortiert - Packung mit 24 Stück,9edb589d-960a-3d40-b39b-2b69cb140c6b,de
Exekutiver Hochleistungs-Vollstreifenhefter mit großer Kapazität; kombiniert stilvolles und ergonomisches Design mit hohen Heftfähigkeiten; zur Verwendung mit 26 / 6-8mm- und 24 / 6-8mm-Heftklammern; 50 Blatt Kapazität; 15 Jahre Garantie.,Schwerlasthefter - Schwarz,9f358e1b-59e7-3b69-baa5-cf1ae5f358df,de
"Strapazierfähiges und elastisches Gummiband aus Naturkautschuk, das aus nachhaltigen Ressourcen gewonnen wird; Größe: 32 x 1,5 mm (L x B).",Verschiedene Farben Gummiband - Beutel mit 870 Stück,9fa99e0f-64ae-3e7d-b925-dbeec0a4b226,de
Sortiertes hochwertiges farbiges Papier; 80 g / m_; 7 Farben; 250 Blatt.,Premium-Druckerpapier - Sortiert - 250 Blatt,a0c59c7a-6504-3283-8271-be865784f31e,de
"Hochwertiger Gel-Tintenroller in 12 attraktiven Neonfarben; Das 'Uni-Flow' -Flüssigkeitstintensystem sorgt für einen gleichmäßigen Tintenfluss und ein reibungsloses Schreiben. Spitzenbreite: 7 mm, erzeugt eine mittlere Schreiblinie von 0,5 mm; Ideal zum Markieren von Schülern und Lehrern.",Gelstick Tintenroller - Sortiert - Packung mit 12 Stück,a19a313e-b6fd-3e88-a192-0a1bd5ba0453,de
